id;name;longitude;latitude;description;address;region_id;district_id
1;Account;53688;801;Grocery Division;Grocery;1;1
2;Home Loan payment;3994;28949;salmon;visualize Buckinghamshire;2;2
3;Handmade;55112;32462;input system SSL;plug-and-play;3;3
4;up AI;28339;10588;invoice Fresh;Planner;4;4
5;copying bypass;28438;98538;white;wireless Peso;5;5
6;Handmade;232;8298;extensible;ivory;6;6
7;architect Cambridgeshire;33419;98586;Soft lime;supply-chains;7;7
8;Soft;18564;17022;SCSI;Rubber;8;8
9;Automated Kentucky;58503;16676;24/7;and;9;9
10;schemas Utah bus;10296;12485;Metal deposit;Frozen Ergonomic Executive;10;10
